epoch_num,num_seeds,nc1_mean,nc1_std_across_seed,nc2_mean,nc2_std_across_seed,nc3_mean,nc3_std_across_seed,nc4_mean,nc4_std_across_seed,class_mean_distance_mean,class_mean_distance_std_across_seed,tr_sigma_w_mean,tr_sigma_w_std_across_seed,w_mu_cos_mean_mean,w_mu_cos_mean_std_across_seed
10,1,8.09884788578031,0.0,0.002716675887033,0.0,0.4485260381400517,0.0,0.34904,0.0,7.335962935931541,0.0,36.38619795570033,0.0,0.7908771933558776,0.0
20,1,4.607666510639136,0.0,0.0022833187879456,0.0,0.4045508430245043,0.0,0.28624,0.0,8.664855502297682,0.0,43.51125668374175,0.0,0.8191984395799159,0.0
30,1,3.413878387807317,0.0,0.0022819435462139,0.0,0.3525482091353499,0.0,0.2163,0.0,9.93709161890218,0.0,52.72176551013192,0.0,0.8413084079373712,0.0
40,1,2.7924321214712005,0.0,0.0019529015771518,0.0,0.3438453944100864,0.0,0.20078,0.0,10.411419678092708,0.0,55.17271348835692,0.0,0.8504211990384963,0.0
50,1,2.377327719856643,0.0,0.0019677390639252,0.0,0.2889238391015318,0.0,0.16186,0.0,10.923402331441707,0.0,59.63074513278196,0.0,0.8681401663111135,0.0
60,1,1.8962647973768532,0.0,0.0017738243364283,0.0,0.2478243905580409,0.0,0.09798,0.0,11.706352419043196,0.0,63.26839243386977,0.0,0.8906370236204514,0.0
70,1,1.26371280423358,0.0,0.0014356105231606,0.0,0.1694164013316483,0.0,0.0271,0.0,12.79197769543824,0.0,63.21641714078638,0.0,0.927302023496536,0.0
80,1,0.6464513927293994,0.0,0.0010141840338563,0.0,0.0985258843954145,0.0,0.00036,0.0,13.134676722859012,0.0,42.95603557610809,0.0,0.9567696093571548,0.0
90,1,0.5091816285617401,0.0,0.0009473452269241,0.0,0.0876760388564551,0.0,0.00014,0.0,12.89188687375958,0.0,34.228881197509594,0.0,0.9617701300480136,0.0
100,1,0.493064109088123,0.0,0.0009395326717792,0.0,0.0863211010253973,0.0,0.00022,0.0,12.81849918976397,0.0,32.85405384871352,0.0,0.962379901624509,0.0
