epoch,train_loss,val_loss,val_acc
1,3.4039,3.538,14.5
2,2.8513,2.881,27.1
3,2.3969,2.349,36.0
4,1.9853,2.292,39.3
5,1.8366,1.873,49.8
6,1.6334,1.739,52.7
7,1.6546,2.061,46.3
8,1.6083,1.625,54.3
9,1.4538,1.67,53.4
10,1.4513,1.621,56.0
11,1.387,2.034,49.3
12,1.3128,1.821,52.6
13,1.376,1.496,60.9
14,1.2408,1.51,57.5
15,1.2246,1.615,57.5
16,1.2023,1.581,57.5
17,1.1822,1.488,62.1
18,1.1658,1.651,56.4
19,1.0959,1.427,62.6
20,1.1268,1.409,61.2
21,1.1017,1.473,59.5
22,1.1004,1.427,61.6
23,1.1221,1.537,57.8
24,1.0183,1.422,61.9
25,1.0809,1.546,57.9
26,1.0923,1.484,59.8
27,1.0544,1.383,62.2
28,0.9615,1.316,64.6
29,0.9338,1.398,62.2
30,0.9673,1.383,62.5
31,0.9801,1.427,62.7
32,0.9221,1.39,62.9
33,0.9058,1.435,62.7
34,0.8573,1.356,63.0
35,0.8662,1.38,63.8
36,0.9536,1.422,62.0
37,0.8709,1.488,61.1
38,0.8688,1.385,64.2
39,0.9112,1.357,63.2
40,0.8191,1.461,61.9
41,0.8078,1.398,64.0
42,0.8081,1.36,66.4
43,0.7484,1.426,64.0
44,0.6273,1.429,64.7
45,0.775,1.308,65.7
46,0.7562,1.367,67.3
47,0.7108,1.241,68.4
48,0.7095,1.289,65.8
49,0.6542,1.268,65.3
50,0.6565,1.309,66.2
51,0.6368,1.376,65.3
52,0.6257,1.392,65.3
53,0.6225,1.403,66.3
54,0.525,1.334,68.0
55,0.5716,1.426,64.8
56,0.4844,1.395,65.2
57,0.4959,1.377,66.3
58,0.4319,1.322,65.9
59,0.4566,1.334,68.5
60,0.444,1.279,69.9
61,0.4632,1.386,68.5
62,0.3832,1.295,69.9
63,0.3217,1.238,69.3
64,0.3308,1.226,70.5
65,0.2743,1.219,69.8
66,0.3004,1.173,70.8
67,0.2384,1.188,70.6
68,0.1885,1.107,72.5
69,0.1682,1.132,72.1
70,0.141,1.136,72.8
71,0.1412,1.233,71.2
72,0.1225,1.192,73.6
73,0.0963,1.082,74.9
74,0.0665,1.048,74.3
75,0.076,0.997,75.0
76,0.0535,0.999,75.3
77,0.0306,0.981,73.8
78,0.0389,0.949,75.6
79,0.0294,0.924,75.8
80,0.0183,0.912,76.5
81,0.0169,0.896,76.4
82,0.0186,0.891,76.7
83,0.0162,0.875,76.3
84,0.0152,0.873,76.8
85,0.013,0.857,76.9
86,0.0143,0.867,76.4
87,0.0135,0.87,76.6
88,0.0138,0.866,76.9
89,0.0086,0.859,76.4
90,0.0102,0.859,77.0
91,0.0101,0.855,76.5
92,0.0139,0.857,76.5
93,0.0114,0.861,76.8
94,0.0171,0.859,77.4
95,0.0109,0.863,77.3
96,0.0107,0.864,77.2
97,0.0113,0.855,77.2
98,0.0098,0.855,77.4
99,0.0113,0.856,77.0
100,0.0094,0.856,77.3
